,variable cost,fixed cost,remark,source,CO2_intensity,AT,DE
Biomass,4.04,0.0,20.0% net efficiency,"10, 13",,,
Coal,6.12,0.0,45.0% net efficiency,"10, 12",,,
Gas,2.36,0.0,57.5% net efficiency,"10, 12",,,
Lignite,4.06,0.0,43.2% net efficiency,"10, 12",,,
Nuclear,0.27,0.0,34.0% net efficiency,"10, 8",,,
Oil,3.21,0.0,avg of lignite and nat gas due to lack of data,8,,,
Solar,0.0,5028.0,"utility scale pv, 838 full-load hours","10, 11",,,
Water,0.0,0.0,no data available,8,,,
Wind_Off,0.0,2831.0,wind offshore in soure; 4044 full-load hours,"10, 14",,,
Wind_On,0.0,2831.0,wind offshore in soure; 4044 full-load hours,"10, 14",,,
biomass,,,,,0.0,3.0,1.0
coal,,,,,0.337,9.0,1.0
el,0.0,0.0,no data available,8,0.0,0.0,0.0
geo,0.0,0.0,,,0.0,0.0,0.0
ht,0.0,0.0,,,0.0,0.0,0.0
hydrogen,0.0,0.0,,,0.0,0.0,0.0
lignite,,,,,0.399,9.0,1.0
ngas,,,,,0.201,6.0,3.0
nuclear,,,,,0.0,1.0,1.0
oil,,,,,0.266,3.0,1.0
solar,,,,,0.0,0.0,0.0
waste,4.06,0.0,,,0.399,0.0,0.0
water,,,,,0.0,0.0,0.0
wind_off,,,,,0.0,0.0,0.0
wind_on,,,,,0.0,0.0,0.0
