set_id,l,f,el,ht,fuel
lig_stm_chp,l1,Lignite,1.0,0.0,1.0
lig_stm_chp,l2,Lignite,0.8,1.3333333333333333,1.0
lig_stm_chp,l3,Lignite,0.7,1.3333333333333333,0.8999999999999999
lig_stm_chp,l4,Lignite,0.0,0.0,0.0
lig_boa_chp,l1,Lignite,1.0,0.0,1.0
lig_boa_chp,l2,Lignite,0.8333333333333334,1.1111111111111112,1.0
lig_boa_chp,l3,Lignite,0.7333333333333335,1.1111111111111112,0.9000000000000001
lig_boa_chp,l4,Lignite,0.0,0.0,0.0
coal_sub_chp,l1,Coal,1.0,0.0,1.0
coal_sub_chp,l2,Coal,0.7435,1.71,1.0
coal_sub_chp,l3,Coal,0.6435000000000001,1.71,0.9000000000000001
coal_sub_chp,l4,Coal,0.0,0.0,0.0
coal_sc_chp,l1,Coal,1.0,0.0,1.0
coal_sc_chp,l2,Coal,0.7705,1.53,1.0
coal_sc_chp,l3,Coal,0.6705,1.53,0.8999999999999999
coal_sc_chp,l4,Coal,0.0,0.0,0.0
coal_usc_chp,l1,Coal,1.0,0.0,1.0
coal_usc_chp,l2,Coal,0.838,1.08,1.0
coal_usc_chp,l3,Coal,0.7380000000000002,1.08,0.9000000000000002
coal_usc_chp,l4,Coal,0.0,0.0,0.0
ng_stm_chp,l1,Gas,1.0,0.0,1.0
ng_stm_chp,l2,Gas,0.8071428571428572,1.2857142857142856,1.0
ng_stm_chp,l3,Gas,0.7071428571428573,1.2857142857142856,0.9000000000000001
ng_stm_chp,l4,Gas,0.0,0.0,0.0
ng_cc_lo_chp,l1,Gas,1.0,0.0,1.0
ng_cc_lo_chp,l2,Gas,0.8785000000000001,0.81,1.0
ng_cc_lo_chp,l3,Gas,0.7785,0.81,0.8999999999999999
ng_cc_lo_chp,l4,Gas,0.0,0.0,0.0
ng_cc_hi_chp,l1,Gas,1.0,0.0,1.0
ng_cc_hi_chp,l2,Gas,0.9055,0.63,1.0
ng_cc_hi_chp,l3,Gas,0.8055000000000001,0.63,0.9000000000000001
ng_cc_hi_chp,l4,Gas,0.0,0.0,0.0
ng_mtr_chp,l1,Gas,1.0,0.0,1.0
ng_mtr_chp,l2,Gas,1.0,0.9473684210526315,1.0
ng_mtr_chp,l3,Gas,0.9,0.9473684210526315,0.9
ng_mtr_chp,l4,Gas,0.0,0.0,0.0
oil_stm_chp,l1,Oil,1.0,0.0,1.0
oil_stm_chp,l2,Oil,0.7669,1.332,1.0
oil_stm_chp,l3,Oil,0.6669,1.332,0.9
oil_stm_chp,l4,Oil,0.0,0.0,0.0
oil_cc_chp,l1,Oil,1.0,0.0,1.0
oil_cc_chp,l2,Oil,0.766063,1.251,1.0
oil_cc_chp,l3,Oil,0.666063,1.251,0.8999999999999999
oil_cc_chp,l4,Oil,0.0,0.0,0.0
bio_chp,l1,Biomass,1.0,0.0,1.0
bio_chp,l2,Biomass,0.51175,1.395,1.0
bio_chp,l3,Biomass,0.41175,1.395,0.8999999999999999
bio_chp,l4,Biomass,0.0,0.0,0.0
bio_boiler_chp,l1,Biomass,0.0,1.0,1.0
bio_boiler_chp,l2,Biomass,0.0,0.66,0.66
bio_boiler_chp,l3,Biomass,0.0,0.33,0.33
bio_boiler_chp,l4,Biomass,0.0,0.0,0.0
ng_boiler_chp,l1,Gas,0.0,1.0,1.0
ng_boiler_chp,l2,Gas,0.0,0.66,0.66
ng_boiler_chp,l3,Gas,0.0,0.33,0.33
ng_boiler_chp,l4,Gas,0.0,0.0,0.0
