set_id,id,name,fuel,primary_product,capex_p,capex_e,eqacapex_p,eqacapex_e,opex_f,opex_v,lifetime,eta_ec,source,heat_generation,intermittent,storage,transmission,conventional,P_c,c_v,c_b,Q_mc,Q_b,P_mc,P_b,fuel_consumption,eta_mincond,q_q,source_b
bio_eng,,Gas engine,biomass,el,875,0.0,56,0,8900.0,6.5,25,0.46,td_for_el_and_dh,0,0,0,0,1,,,,,,,,,,,
bio_sofc,,Biogas SOFC,biomass,el,1400,0.0,103,0,70000.0,0.0,20,0.6,td_for_el_and_dh,1,0,0,0,1,,,,,,,,,,,
bio_wchip_boiler,,Wood Chips Boiler,biomass,ht,410,0.0,26,0,37150.0,4.115,25,1.149,td_for_el_and_dh,1,0,0,0,1,,,,,,,,,,,
bio_wchip_chp,,Wood Chips Backpressure CHP,biomass,el,3030,0.0,194,0,86500.0,4.41,25,0.303,td_for_el_and_dh,1,0,0,0,1,,,,,,,,,,,
bio_wchip_ex_chp,,Wood Chips Extraction CHP,biomass,el,980,0.0,63,0,26700.0,1.11,25,0.423,td_for_el_and_dh,1,0,0,0,1,,,,,,,,,,,
bio_wpel_boiler,,Wood Pellets Boiler,biomass,ht,645,0.0,41,0,29800.0,2.815,25,1.012,td_for_el_and_dh,1,0,0,0,1,,,,,,,,,,,
bio_wpel_chp,,Wood Pellets CHP,biomass,el,2040,0.0,131,0,56500.0,1.71,25,0.336,td_for_el_and_dh,1,0,0,0,1,,,,,,,,,,,
bio_wpel_ex_chp,,Wood Pellets Extraction CHP,biomass,el,885,0.0,57,0,22700.0,0.51,25,0.448,td_for_el_and_dh,1,0,0,0,1,,,,,,,,,,,
e_boiler,,Electric Boiler,el,ht,60,0.0,4,0,970.0,1.0,20,0.99,td_for_el_and_dh,1,0,0,0,1,,,,,,,,,,,
ely_alka,,Alkaline electrolysis,el,hydrogen,300,0.0,17,0,6000.0,0.0,32,0.715,td_renew_fuels,1,0,0,0,1,,,,,,,,,,,
ely_pem,,PEM electrolysis,el,hydrogen,450,0.0,27,0,18000.0,0.0,28,0.68,td_renew_fuels,1,0,0,0,1,,,,,,,,,,,
ely_sofc,,Solid oxide electrolysis,el,hydrogen,1342,0.0,99,0,161040.0,0.0,20,0.814,td_renew_fuels,0,0,0,0,1,,,,,,,,,,,
hp_airl,,"Heatpump, air, large",el,ht,760,0.0,49,0,2000.0,1.69,25,3.9,td_for_el_and_dh,1,0,0,0,1,,,,,,,,,,,
hp_airmini,,"Heatpump, air, residential",el,ht,440,0.0,47,0,27644.0,0.0,12,5.5,td_heating_installations,1,0,0,0,1,,,,,,,,,,,
hp_airs,,"Heatpump, air, small",el,ht,1330,0.0,85,0,2000.0,2.69,25,3.1,td_for_el_and_dh,1,0,0,0,1,,,,,,,,,,,
hp_gnd,,"Heatpump, ground, residential",el,ht,3544,0.0,261,0,55445.0,0.0,20,3.8,td_heating_installations,1,0,0,0,1,,,,,,,,,,,
hp_wtr,,"Heatpump, water, residential",el,ht,2447,0.0,180,0,62349.0,0.0,20,3.6,td_heating_installations,1,0,0,0,1,,,,,,,,,,,
hyd_psp_day,,"Hydro Pumped Storage, day",el,el,3000,6.5,140,0,20000.0,0.0,50,0.9,"3, 6",0,0,1,0,0,1.0,na,na,na,na,na,na,na,na,na,na
hyd_psp_season,,"Hydro Pumped Storage, seasonal",el,el,3000,6.5,140,0,20000.0,0.0,50,0.9,"3, 6",0,0,1,0,0,1.0,na,na,na,na,na,na,na,na,na,na
hyd_psp_week,,"Hydro Pumped Storage, week",el,el,3000,6.5,140,0,20000.0,0.0,50,0.9,"3, 6",0,0,1,0,0,1.0,na,na,na,na,na,na,na,na,na,na
hyd_res_day,,"Hydro Reservoir, day",el,el,2400,6.5,112,0,20000.0,0.0,50,0.9,"2, 3, 6",0,0,1,0,0,1.0,3.6,na,na,na,na,na,na,na,na,na
hyd_res_season,,"Hydro Reservoir, seasonal",el,el,2400,6.5,112,0,20000.0,0.0,50,0.9,"2, 3, 6",0,0,1,0,0,1.0,0.99,na,na,na,na,na,na,na,na,na
hyd_res_week,,"Hydro Reservoir, week",el,el,2400,6.5,112,0,20000.0,0.0,50,0.9,"2, 3, 6",0,0,1,0,0,1.0,1.71,na,na,na,na,na,na,na,na,na
str_lion,,Li-Ion  Battery,el,el,100,94.0,6,5,0.54,1.7,30,0.96,td_energy_storage,0,0,1,0,0,,,,,,,,,,,
str_varx,,Va Redox Battery,el,el,33,23.0,2,2,1.5,0.9,20,0.78,td_energy_storage,0,0,1,0,0,,,,,,,,,,,
geotherm,,"Geothermal, deep",geo,ht,2650,0.0,153,0,22150.0,4.575,30,8.765,td_for_el_and_dh,1,0,0,0,1,,,,,,,,,,,
str_hwtr,,Large hot water tank,ht,ht,5,3.0,0,0,8.6,0.0,40,0.98,td_energy_storage,1,0,1,0,0,,,,,,,,,,,
str_ptes,,Pit Thermal Energy Storage,ht,ht,10,5.1,1,0,3.0,0.0,25,0.7,td_energy_storage,1,0,1,0,0,,,,,,,,,,,
h2_cbt_hi,,Nat Gas New OCGT,hydrogen,el,590,0.0,38,0,19500.0,4.4,25,0.42,1,0,0,0,0,1,1.0,0,0.96,0.8333333333333335,1.0416666666666667,1,1,2.380952380952381,0.77,0.8,1
h2_cbt_hi_chp,,Nat Gas New OCGT CoGen,hydrogen,el,649,0.0,42,0,19500.0,4.4,25,0.42,,1,0,0,0,1,,,,,,,,,,,
h2_cc_hi,,Nat Gas New Combined Cycle,hydrogen,el,836,0.0,54,0,27835.0,4.4,25,0.61,1,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,na
h2_cc_hi_chp,,Nat Gas New Combined Cycle CoGen,hydrogen,el,880,0.0,56,0,29300.0,4.4,25,0.61,1,1,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,1
h2_stm,,Nat Gas Steam Turbine,hydrogen,el,400,0.0,23,0,15000.0,3.0,30,0.407,3,0,0,0,0,1,1.0,na,na,na,na,na,na,na,na,na,na
h2_stm_chp,,Nat Gas Steam Turbine CoGen,hydrogen,el,400,0.0,23,0,15000.0,3.0,30,0.407,3,1,0,0,0,1,1.0,0.15,0.55,1.1428571428571428,1.4285714285714284,0.8285714285714286,0.7857142857142858,2.8782028782028783,0.8023714285714285,0.8,"4, 7, 8"
h2fc_pem,,Hydrogen PEM FC,hydrogen,el,950,0.0,117,0,47500.0,0.0,10,0.5,td_for_el_and_dh,1,0,0,0,1,,,,,,,,,,,
str_h2cave,,Cavern Hydrogen storage,hydrogen,hydrogen,50,1.5,2,0,3e-05,1.5e-05,100,0.99,td_energy_storage,0,0,1,0,0,,,,,,,,,,,
str_h2lohc,,LOHC Hydrogen storage,hydrogen,hydrogen,5,0.45,0,0,1.8e-05,4.5e-06,20,0.75,td_energy_storage,0,0,1,0,0,,,,,,,,,,,
str_h2tnk,,Hydrogen storage tank,hydrogen,hydrogen,250,27.0,14,2,500.0,0.0,30,0.89,td_energy_storage,0,0,1,0,0,,,,,,,,,,,
g_boiler,,Gas Boiler,ngas,ht,50,0.0,3,0,1800.0,1.0,25,1.04,td_for_el_and_dh,1,0,0,0,1,,,,,,,,,,,
ngas_cbt_hi,,Nat Gas New OCGT,ngas,el,590,0.0,38,0,19500.0,4.4,25,0.42,1,0,0,0,0,1,0.0,0,0.96,0.8333333333333335,1.0416666666666667,1,1,2.380952380952381,0.77,0.8,1
ngas_cbt_hi_chp,,Nat Gas New OCGT CoGen,ngas,el,649,0.0,42,0,19500.0,4.4,25,0.42,,1,0,0,0,1,,,,,,,,,,,
oil__ocgt,,LFO OCGT,oil,el,350,0.0,22,0,7584.0,4.5,25,0.43,td_for_el_and_dh,0,0,0,0,1,,,,,,,,,,,
oil_eng,,Diesel engine,oil,el,340,0.0,22,0,8272.0,6.0,25,0.37,td_for_el_and_dh,0,0,0,0,1,,,,,,,,,,,
pv_com,,PV rooftop commercial & industrial,solar,el,460,0.0,23,0,7300.0,0.0,40,1.0,td_for_el_and_dh,0,1,0,0,0,,,,,,,,,,,
pv_res,,PV Rooftop residential,solar,el,700,0.0,35,0,9100.0,0.0,40,1.0,td_for_el_and_dh,0,1,0,0,0,,,,,,,,,,,
pv_track,,PV utility-scale tracker,solar,el,380,0.0,19,0,9400.0,0.0,40,1.0,td_for_el_and_dh,0,1,0,0,0,,,,,,,,,,,
pv_utl,,PV utility-scale,solar,el,320,0.0,16,0,8100.0,0.0,40,1.0,td_for_el_and_dh,0,1,0,0,0,,,,,,,,,,,
solartherm,,Solarthermal plant,solar,ht,290,0.0,17,0,58.26,0.325,30,0.49,td_for_el_and_dh,1,0,0,0,1,,,,,,,,,,,
wst_boiler,,Waste boiler,waste,ht,1625,0.0,104,0,69300.0,5.57,25,1.061,td_for_el_and_dh,1,0,0,0,1,,,,,,,,,,,
wst_chp,,Waste CHP,waste,el,6920,0.0,443,0,39450.0,5.885,25,0.245,td_for_el_and_dh,1,0,0,0,1,,,,,,,,,,,
ror,,Hydro Run-of-river,water,el,2800,0.0,124,0,60000.0,0.0,60,1.0,,0,1,0,0,0,1.0,na,na,na,na,na,na,na,na,na,na
wind_off,,Wind Offshore,wind_off,el,1680,0.0,97,0,34000.0,3.42,30,1.0,td_for_el_and_dh,0,1,0,0,0,,,,,,,,,,,
wind_on,,Wind Onshore,wind_on,el,980,0.0,57,0,11592.0,1.24,30,1.0,td_for_el_and_dh,0,1,0,0,0,,,,,,,,,,,
transmission,,Transmission grid expansion,el,el,506,,26,0,9.0,0.0,40,0.0,"16, 17",0,0,0,1,0,,,,,,,,,,,
